,Token_id,Two categories,Hair,Clothing,Background,Mouth,Offhand,Type,Eyes,Trait_count,Ear,Neck,Headgear,Face,Special
45,45,F,Purple Dreadlocks,Turquoise Kimono with Bow,Off White A,Laughing,,Human,Hopeful,7,,Zen Headphones,,,
46,46,F,Indigo Ponytail,Frog T-Shirt,Off White A,Tongue Out,Hand Seal,Human,Striking,7,,,,,
47,47,M,Purple Spiky,Brown Yukata,Off White D,Growl,Skateboard,Human,Bored,7,,,,,
48,48,M,Brown Samurai,Green Yukata,Off White C,Scroll,,Human,Determined,7,,,Straw Hat,,
49,49,M,Maroon Disheveled,Hoshi Jacket,Cool Gray,Growl,Shuriken,Human,Careless,7,,,,,
50,50,F,Indigo Bangs,Turquoise Kimono,Off White A,Wheat Straw,,Human,Determined,7,,,Full Bandana,,
51,51,F,Indigo Bangs,Black Ninja Top,Red,Lipstick,Sakura Katana,Human,Relaxed,7,,,,,
52,52,M,Blue Short Spiky,Yellow Jumpsuit,Off White D,Whistling,,Human,Careless,7,,,Red Panda Baseball Cap,,
53,53,M,Brown Messy,Bloody Bomber,Off White C,Chuckle,Hand Wrap,Human,Determined,8,,,,Blue Sunglasses,
54,54,F,Violet Flowy,Sloth Kimono,Dark Blue,Smile,Guitar,Human,Calm,7,,,,,
55,55,M,Brown Fluffy,Alpine Jacket,Red,Smirk,Boombox,Human,Indifferent,7,,,,,
56,56,M,Black Disheveled,Black Hoodie,Red,Face Mask,Gloves,Human,Tired,8,,,IKZ Baseball Cap,,
57,57,F,Brown Ponytail,Light Kimono,Off White A,Scroll,Katana,Human,Pierced Eyebrow,8,,,,Black Glasses,
58,58,M,Green Fluffy,Suit with Turtleneck,Off White C,Smoking,Guitar,Human,Tired,7,,,,,
59,59,M,Blonde Long,White T-Shirt,Off White D,Pout,,Human,Closed,8,,,Backwards Cap,Eye Patch,
60,60,M,Purple Spiky,Green Yukata,Off White C,Smoking,Coin,Human,Bored,7,,,,,
61,61,M,Green Samurai,Red Kimono,Cool Gray,Meh,Banner,Human,Closed,9,,Chain,,Eye Patch,
62,62,M,Silver Short Spiky,Blue Kimono,Off White C,Smirk,Coin,Blue,Meditating,7,,,,,
63,63,F,Magenta Flowy,Cat Kimono,Off White B,Closed,Monk Staff,Human,Hopeful,7,,,,,
64,64,M,Orange Samurai,Black Hoodie,Red,Face Mask,,Human,Indifferent,6,,,,,
65,65,M,Black Swept Back,Cat Yukata,Off White D,Whistling,,Human,Determined,6,,,,,
66,66,M,Blonde Short Spiky,Green Yukata,Off White B,Not Bad,Coin,Human,Meditating,7,,,,,
67,67,F,Black Bangs,Tank Top with Jacket,Off White B,Lipstick,Hand Wrap,Human,Amethyst,7,,,,,
68,68,F,Brown Ponytail,Yellow Bikini,Red,Grass,,Human,Striking,6,,,,,
69,69,M,Brown Disheveled,Hawaiian Shirt,Off White B,420,Hand Seal,Human,Indifferent,7,,,,,
70,70,F,Teal Bun,Red Floral Kimono,Off White B,Lipstick,Banner,Human,Determined,8,,Tribal Tattoo,,,
71,71,M,Indigo Disheveled,Brown Yukata,Off White D,Relaxed,,Human,Focused,7,,Towel,,,
72,72,F,Blue Bun,Blue Kimono with Bow,Off White D,Grass,Lantern,Human,Determined,7,,,,,
73,73,F,Maroon Ponytail,Turquoise Kimono with Bow,Off White D,Frown,,Human,Calm,7,,,,Red Stripes Face Paint,
74,74,M,Indigo Disheveled,Black Kimono,Off White B,Relaxed,Lantern,Human,Determined,7,,,,,
75,75,M,Black Swept Back,White T-Shirt,Off White A,Pout,Shuriken,Human,Pensive,7,,,,,
76,76,F,Silver Bangs,Black Qipao,Red,Bubble Gum,,Human,Closed,7,,,Ayaigasa,,
77,77,M,Brown Messy,Azuki Sweater,Off White C,420,Fireball,Human,Careless,9,Chill,,Backwards Cap,,
78,78,M,Orange Short Spiky,Red Perfecto Jacket,Off White A,Stubble,Hook Sword,Human,Focused,7,,,,,
79,79,M,Orange Swept Back,White Hoodie,Off White D,Whistling,,Human,Chill,6,,,,,
80,80,M,Teal Long,Red Kimono,Off White A,Pout,,Human,Meditating,8,Chill,Chain,,,
81,81,F,Brown Flowy,Lavender Kimono with Bow,Off White D,Scroll,,Human,Joyful,6,,,,,
82,82,F,Indigo Bangs,Frog Hoodie,Off White C,Smile,Lantern,Human,Closed,7,,,,,
83,83,M,Orange Samurai,Kimono with Jacket,Off White C,Relaxed,,Human,Focused,7,,,Horns,,
84,84,M,Green Half Bun,Suikan,Off White D,Smoking,Lantern,Human,Closed,8,,,Full Bandana,,
85,85,M,Pink Samurai,Red Hoodie,Off White A,Chuckle,,Human,Tired,7,,,Cat Baseball Cap,,
86,86,M,Black Fluffy,Camo Tech Jacket,Off White D,Chuckle,,Human,Meditating,7,Small Hoop,,,,
87,87,M,Indigo Long,Vegan Mink Coat,Cool Gray,Smoking,Fireball,Human,Meditating,10,,,Fur Bucket Hat,Round Purple Sunglasses,Fireflies
88,88,F,Purple Bangs,Hoodie with Bag,Off White D,Relaxed,,Human,Relaxed,7,,,Backwards Cap,,
89,89,M,Green Samurai,Blue Kimono,Off White A,Meh,Leather Katana,Human,Suspicious,8,,,Fur Bucket Hat,,
90,90,F,Silver Pixie,Red Floral Kimono,Off White D,Smirk,,Red,Ruby,6,,,,,
91,91,F,Blonde Flowy,Red Qipao with Fur,Off White A,Toothpick,Bean Juice,Human,Closed,7,,,,,
92,92,F,Pink Hairband,Denim Jacket,Off White D,Face Mask,Katana,Human,Calm,7,,,,,
93,93,M,Powder Blue Swept Back,Blue Kimono,Off White C,Meh,Sakura Katana,Human,Focused,7,,,,,
94,94,F,Blue Bun,Hoodie,Off White C,Laughing,,Human,Closed,8,,Choker,,Seer Eyeband,
95,95,F,Brown Bangs,Blue Qipao,Off White D,Smirk,,Human,Concerned,6,,,,,
96,96,M,Brown Spiky,White Hoodie,Off White C,Gaiter,Zanbato,Human,Pensive,7,,,,,
97,97,M,Silver Swept Back,Red Panda T-Shirt,Dark Blue,Toothpick,Zanbato,Human,Closed,7,,,,,
98,98,M,Blonde Short Spiky,Fur Hoodie,Dark Purple,Face Mask,Coin,Human,Determined,7,,,,,
99,99,M,Magenta Messy,Azuki Track Jacket,Red,Relaxed,Sake,Red,Focused,7,,,,,
100,100,F,Blue Bob,Stitched Samurai Armor,Off White B,Lipstick,,Human,Glowing,7,,Chill Headphones,,,
101,101,M,Blue Short Spiky,Bloody Bomber,Off White C,Closed,Katana,Human,Determined,8,,Beads,,,
102,102,M,Powder Blue Disheveled,Light Kimono,Off White B,Growl,Coin,Human,Focused,8,,,Cat Headband,,
103,103,M,Braids,Azuki Sweater,Red,Meh,Boombox,Human,Pierced Eyebrow,9,Skull Ear Cuffs,Contract Tattoo,,,
104,104,M,Indigo Swept Back,Fur Hoodie,Off White A,Closed,Umbrella,Human,Focused,8,,,Full Bandana,,
105,105,M,Indigo Messy,White Blazer,Off White A,Face Mask,Monkey King Staff,Human,Indifferent,7,,,,,
106,106,M,Silver Spiky,Light Kimono,Off White D,Chuckle,Coin,Red,Closed,7,,,,,
107,107,M,Black Swept Back,Fur Hoodie,Off White B,Meh,,Human,Bored,7,,,Sloth Mask,,
108,108,M,Brown Blonde Long,Red Perfecto Jacket,Off White A,Long Stubble,Fan,Human,Meditating,9,Wireless Earbuds,,,Sleep Mask,
109,109,F,Maroon Bob,Black Ninja Top,Off White D,Laughing,Fan,Human,Relaxed,7,,,,,
110,110,F,Blonde Flowy,Pink Oversized Kimono,Off White D,Lipstick,Red Bean,Human,Determined,9,Cat,,Cat Mask,,
111,111,M,Black Fluffy,Light Kimono,Off White A,Relaxed,,Human,Careless,7,Wu,,,,
112,112,F,Indigo Ponytail,Yellow Bikini,Off White D,Chewing,Earth,Human,Closed,8,,,,Sleep Mask,
113,113,F,Black Hairband,Vest,Red,Grin,Coin,Human,Daydreaming,8,,,IKZ Baseball Cap,,
114,114,M,Gray Samurai,Red Hoodie,Off White C,Not Bad,Sakura Katana,Blue,Pensive,7,,,,,
115,115,F,Silver Dreadlocks,Azuki Track Jacket,Off White C,Closed,,Human,Hopeful,7,,,,Black Glasses,
116,116,M,Long Dreadlocks,Red Kimono,Off White C,Relaxed,Coin,Human,Closed,9,,Chain,,Round Blue Sunglasses,
117,117,M,Blonde Swept Back,White Yukata,Off White A,Meh,Katana,Human,Pierced Eyebrow,7,,,,,
118,118,M,Blue Spiky,Camo Tech Jacket,Off White C,Pout,Umbrella,Human,Focused,7,,,,,
119,119,F,Maroon Bob,Turquoise Kimono,Cool Gray,Smoking,Lantern,Human,Amethyst,8,,Zen Headphones,,,
120,120,F,Green Ombre Flowy,Golden Sloth Kigurumi,Cool Gray,Toothpick,,Human,Joyful,6,,,,,
121,121,M,Magenta Messy,Red Hoodie,Off White C,Chuckle,Golden Shinai,Human,Determined,7,,,,,
122,122,F,Magenta Pigtails,Camo Hoodie,Off White D,Tactical Knife,Bean Juice,Human,Hopeful,7,,,,,
123,123,M,Black Disheveled,Black Yukata,Off White A,Whistling,Gloves,Human,Meditating,8,,,,Eye Scar,
124,124,M,Blonde Long,White Layered Yukata,Dark Purple,Not Bad,,Human,Indifferent,6,,,,,
125,125,M,Brown Messy,Hoshi Jacket,Red,Chuckle,,Human,Focused,8,,,Frog Mask,Red Bandana,
126,126,F,Indigo Bangs,Red Ninja Top,Off White C,Toothpick,Hand Seal,Human,Joyful,7,,,,,
127,127,M,Black Disheveled,Suit with Turtleneck,Cool Gray,Toothpick,,Human,Pensive,9,,Contract Tattoo,Fur Bucket Hat,Round Purple Sunglasses,
128,128,F,Violet Flowy,Turquoise Kimono with Bow,Off White A,Chewing,,Human,Ruby,7,,Chill Headphones,,,
129,129,M,Blonde Swept Back,Azuki Tech Jacket,Off White C,Growl,Katana,Human,Curious,7,,,,,
130,130,F,Pink Hairband,Plated Samurai Armor,Off White D,Frown,,Human,Closed,7,,,Red Panda Mask,,
131,131,F,Silver Ponytail,White Qipao with Fur,Dark Blue,Relaxed,Zanbato,Blue,Glowing,8,,,,,Lightning
132,132,F,Magenta Flowy,Vest,Off White B,Smile,Monk Staff,Human,Concerned,7,,,,,
133,133,F,Brown Bangs,Sloth Hoodie,Off White C,Whistling,,Human,Relaxed,7,,,Yellow Kanzashi,,
134,134,F,Powder Blue Pigtails,Tank Top,Off White A,Tongue Out,Bat,Human,Closed,8,,,,Sleep Mask,
135,135,F,Orange Pixie,Blue Kimono with Bow,Off White D,Laughing,Katana,Human,Red,8,,Towel,,,
136,136,F,Violet Flowy,Bumblebee Jacket,Off White B,Smirk,Zanbato,Human,Closed,8,Sword,,,,
137,137,M,Teal Long,Sloth Kigurumi,Red,Wheat Straw,Shinai,Human,Pensive,7,,,,,
138,138,M,Black Swept Back,White Blazer,Off White B,Smirk,Red Bean,Human,Focused,7,,,,,
139,139,F,Blonde Bun,Black Ninja Top,Dark Purple,Whistling,,Human,Amethyst,7,,,Newsboy Cap,,
140,140,M,Silver Swept Back,Azuki Track Jacket,Off White D,Closed,Floorsweeper,Human,Closed,7,,,,,
141,141,M,Indigo Messy,Red Hoodie,Off White C,Growl,Fishing Rod,Human,Pierced Eyebrow,7,,,,,
142,142,F,Brown Flowy,Cat Kimono,Off White D,Lipstick,Zanbato,Human,Determined,10,Cat,,Cat Mask,Eye Scar,
143,143,F,Blue Bun,Cat Hoodie,Off White D,Frown,Fan,Human,Pierced Eyebrow,7,,,,,
144,144,M,Orange Swept Back,Matsuri Happi,Dark Purple,Pout,Bean Juice,Human,Focused,7,,,,,
145,145,M,Brown Spiky,Black Yukata,Off White B,Closed,Banner,Human,Indifferent,8,,,Red Panda Baseball Cap,,
146,146,M,Green Spiky,Red Kimono,Off White A,Chuckle,Floorsweeper,Human,Meditating,9,,Chain,Chef Headband,,
147,147,F,Silver Flowy,Tank Top,Off White B,Laughing,Red Bean,Human,Pierced Eyebrow,10,Hoop,,Fur Bucket Hat,Clear Glasses,
148,148,F,Powder Blue Pigtails,Hoodie,Off White A,Frown,Floorsweeper,Human,Joyful,9,,Choker,,Red Stripes Face Paint,
149,149,M,Brown Disheveled,Cat Yukata,Off White B,Whistling,Fan,Human,Pensive,7,,,,,
150,150,F,Blue Hairband,Black Hoodie,Off White D,Lipstick,Floorsweeper,Human,Calm,8,,,,Round Blue Sunglasses,
151,151,F,Long Dreadlocks,Red Panda Kimono,Cool Gray,Laughing,,Human,Ruby,6,,,,,
152,152,F,Blue Half Bun,Alpine Jacket,Red,Closed,Banner,Human,Concerned,7,,,,,
153,153,M,Brown Samurai,Kimono with Jacket,Off White D,Meh,Bat,Human,Careless,7,,,,,
154,154,M,Gray Samurai,White Layered Yukata,Off White C,Chuckle,,Human,Meditating,7,,,,Eye Scar,
155,155,M,Black Swept Back,White T-Shirt,Off White C,Pout,Bokken,Human,Closed,8,,Beads,,,
156,156,M,Blue Short Spiky,White T-Shirt,Red,Pout,Fan,Human,Chill,8,,Zen Headphones,,,
157,157,M,Maroon Half Bun,Vest,Off White B,Relaxed,Coin,Human,Chill,8,,,,Eye Scar,
158,158,F,Pink Flowy,Vegan Mink Coat,Off White B,Face Mask,,Human,Concerned,6,,,,,
159,159,F,Purple Pigtails,Tank Top with Jacket,Off White B,Laughing,Bat,Human,Striking,8,,,Yellow Kanzashi,,
160,160,F,Blue Bob,Black Ninja Top,Off White A,Grin,Katana,Human,Hopeful,7,,,,,
161,161,M,Silver Dreadlocks,Maroon Yukata,Off White D,Not Bad,,Blue,Suspicious,6,,,,,
162,162,F,Green Ombre Bangs,Denim Jacket,Off White A,Laughing,,Blue,Daydreaming,6,,,,,
163,163,F,Violet Flowy,Sloth Kigurumi,Red,Laughing,Coin,Human,Determined,7,,,,,
164,164,F,Purple Pigtails,Frog Kimono,Off White C,Relaxed,Coin,Human,Determined,7,,,,,
165,165,F,Teal Hairband,Light Armor,Off White C,Frown,,Human,Closed,7,,,,Round Blue Sunglasses,
166,166,F,Dreadlocks,Red Ninja Top,Off White B,Chewing,Leather Katana,Human,Closed,8,Ear Cuffs,,,,
167,167,M,Indigo Swept Back,White T-Shirt,Off White C,420,Leather Katana,Human,Curious,7,,,,,
168,168,F,Blue Hairband,Cat Hoodie,Off White B,Toothpick,Sakura Katana,Human,Concerned,7,,,,,
169,169,F,Green Ponytail,Cloud Poncho,Off White A,Chewing,,Human,Determined,7,,Chill Headphones,,,
170,170,F,Brown Flowy,Blue Qipao,Off White D,Relaxed,Leather Katana,Human,Striking,7,,,,,
171,171,F,Brown Ponytail,Red Floral Kimono,Off White A,Grass,Umbrella,Human,Ruby,8,,Beads,,,
172,172,M,Maroon Disheveled,Black Yukata,Off White C,Meh,Katana,Human,Focused,8,,Chill Headphones,,,
173,173,F,Brown Bangs,Red Qipao with Fur,Off White A,Closed,,Human,Relaxed,7,,,,Reading Glasses,
174,174,F,Pink Flowy,Blue Bikini,Off White B,Closed,Umbrella,Human,Calm,7,,,,,
175,175,M,Brown Samurai,Suikan,Off White A,Meh,Sakura Katana,Human,Closed,7,,,,,
176,176,F,Maroon Bun,Red Floral Kimono,Off White B,Relaxed,Banner,Human,Ruby,8,,Sneakers,,,
177,177,F,Magenta Pigtails,Azuki Sweater,Off White C,Surprised,,Human,Hopeful,7,,Towel,,,
178,178,M,Teal Long,White Yukata,Off White B,Face Mask,Bokken,Human,Careless,7,,,,,
179,179,M,Blue Half Bun,White Blazer,Off White C,Long Stubble,,Human,Pensive,7,,,,Round Blue Sunglasses,
180,180,M,Indigo Long,Maroon Yukata,Off White D,Gaiter,,Human,Focused,7,,,Backwards Cap,,
181,181,M,Blue Half Bun,White T-Shirt,Off White D,Closed,,Human,Focused,7,,Chill Headphones,,,
182,182,M,Magenta Messy,Black Yukata,Off White D,Smirk,,Human,Closed,8,,,Horns,Eye Patch,
183,183,M,Blonde Messy,Green Yukata,Off White B,Meh,Sakura Katana,Human,Meditating,8,,,,Round Purple Sunglasses,
184,184,M,Indigo Swept Back,White Yukata,Off White B,420,,Human,Indifferent,7,,Zen Headphones,,,
185,185,F,Black Pigtails,Rain Jacket,Off White D,Tactical Knife,,Human,Hopeful,6,,,,,
186,186,M,Powder Blue Disheveled,Sloth Yukata,Off White D,Meh,Monkey King Staff,Human,Focused,7,,,,,
187,187,F,Teal Bob,Azuki Track Jacket,Red,Lipstick,Katana,Human,Determined,8,,,,Red Fang Face Paint,
188,188,F,Magenta Pigtails,Hoodie,Off White C,Lipstick,,Human,Ruby,8,Hoop,Choker,,,
189,189,M,Maroon Short Spiky,Denim Jacket,Off White D,Face Mask,Zanbato,Human,Curious,7,,,,,
190,190,F,Black Bangs,Azuki Track Jacket,Off White B,Lipstick,Fan,Human,Closed,8,,,Ayaigasa,,
191,191,M,Brown Blonde Long,Blue Kimono,Off White D,Relaxed,Skateboard,Human,Closed,8,,,,Sleep Mask,
192,192,F,Magenta Flowy,Azuki Tech Jacket,Off White A,Smirk,,Human,Relaxed,7,,,Cat Mask,,
193,193,F,Violet Flowy,Vest,Off White D,Frown,Bat,Human,Relaxed,7,,,,,
194,194,F,Brown Flowy,Cat T-Shirt,Off White B,Frown,Coin,Human,Amethyst,7,,,,,
195,195,M,Purple Spiky,Tank Top,Off White B,Grass,Shinai,Human,Bored,8,,,,Eye Scar,
196,196,M,Indigo Swept Back,Maroon Yukata,Off White A,Not Bad,Lantern,Human,Bored,8,,,,Reading Glasses,
197,197,F,Purple Half Bun,Tank Top with Jacket,Off White B,Closed,,Human,Calm,7,,,,Red Fang Face Paint,
198,198,F,Indigo Bangs,Pink Oversized Kimono,Off White A,Laughing,,Human,Amethyst,7,,Chill Headphones,,,
199,199,F,Orange Pixie,Hawaiian Shirt,Red,Surprised,Bean Juice,Human,Joyful,7,,,,,
200,200,F,Green Flowy,Blue Bomber,Off White D,Chewing,Sake,Human,Calm,7,,,,,
201,201,M,Teal Messy,Kung Fu Shirt,Off White A,Chuckle,,Human,Curious,7,,Cat Headphones,,,
202,202,F,Purple Pigtails,Turquoise Kimono with Bow,Red,Smile,,Human,Ruby,7,,,Red Panda Headband,,
203,203,M,Blue Samurai,Archer,Off White C,Pout,Shinai,Human,Chill,8,,,,Black Glasses,
204,204,M,Gray Samurai,Azuki Tech Jacket,Red,Grass,Bat,Red,Suspicious,9,,,Cat Mask,Red Fang Face Paint,
205,205,M,Magenta Messy,Kimono with Straw Hat,Off White C,Bubble Gum,Leather Katana,Human,Indifferent,7,,,,,
206,206,F,Purple Bun,Turquoise Kimono,Off White A,Closed,,Human,Joyful,6,,,,,
207,207,F,Black Teal Bangs,Turquoise Kimono,Off White C,Frown,,Human,Striking,7,,,Red Panda Beanie,,
208,208,M,Silver Disheveled,Black T-Shirt,Red,Relaxed,Leather Katana,Human,Indifferent,8,,,,Red Stripes Face Paint,
209,209,F,Dreadlocks,Turquoise Kimono with Bow,Off White A,Smile,,Human,Relaxed,6,,,,,
210,210,F,Green Pigtails,Cat Kimono,Red,Grin,,Human,Striking,6,,,,,
211,211,F,Green Flowy,Lavender Kimono with Bow,Red,Chewing,,Human,Red,6,,,,,
212,212,M,Blue Short Spiky,Light Kimono,Off White D,Not Bad,Katana,Human,Meditating,9,,,Frog Headband,Red Stripes Face Paint,
213,213,M,Blue Short Spiky,Dress Shirt,Red,Grass,Lantern,Human,Focused,9,,Koi Tattoo,,Red Bandana,
214,214,M,Maroon Disheveled,Black Yukata,Off White B,Pout,,Human,White,7,,,Sandogasa,,
215,215,F,Green Flowy,White Hoodie,Off White A,Chewing,,Human,Determined,6,,,,,
216,216,M,Orange Swept Back,Bumblebee Jacket,Off White B,Meh,Banner,Human,Tired,8,,,,Bandaid,
217,217,F,Pink Flowy,Dress Shirt,Off White A,Laughing,Floorsweeper,Human,Ruby,8,,,Beret,,
218,218,F,Blue Pink Ombre Flowy,Red Qipao with Fur,Cool Gray,Closed,Leather Katana,Human,Determined,8,,,Purple Kanzashi,,
219,219,F,Blue Nightshade Flowy,Yellow Bikini,Off White D,Lipstick,Sake,Human,Relaxed,8,,,,Round Blue Sunglasses,
220,220,M,Orange Samurai,Blue Kimono,Red,Wheat Straw,,Human,Indifferent,6,,,,,
221,221,M,Brown Long,Blue Bomber,Dark Blue,Meh,Banner,Human,Focused,8,,,,Black Glasses,
222,222,F,Blonde Bob,Red Ninja Top,Off White B,Lipstick,Coin,Human,Calm,7,,,,,
223,223,F,Black Hairband,Tank Top with Jacket,Off White A,Smile,Lantern,Human,Concerned,9,,,Black Bucket Hat,Red Stripes Face Paint,
224,224,F,Pink Bangs,Blue Floral Kimono,Off White A,Frown,,Human,Joyful,7,,Chill Headphones,,,
225,225,M,Maroon Half Bun,White T-Shirt,Off White D,Chuckle,Coin,Human,Indifferent,8,,,Distressed Beanie,,
226,226,M,Brown Long,Suit with Turtleneck,Off White D,Long Stubble,Bean Juice,Human,Closed,10,,Zen Headphones,Ayaigasa,Red Stripes Face Paint,
227,227,M,Brown Disheveled,Brown Yukata,Off White D,420,,Human,Closed,7,,,Frog Headband,,
228,228,F,Blue Hairband,Red Perfecto Jacket,Off White B,Grin,,Human,Determined,6,,,,,
229,229,F,Blonde Flowy,Yellow Bikini,Off White A,Frown,Katana,Human,Joyful,8,Chiyogami,,,,
230,230,M,Indigo Fluffy,Hawaiian Shirt,Off White A,Meh,,Human,Closed,7,,,Backwards Cap,,
231,231,F,Maroon Bob,Black Tech Jacket,Off White C,Smile,Hand Wrap,Human,Concerned,7,,,,,
232,232,F,Blue Pink Ombre Flowy,Sloth Hoodie,Off White B,Wheat Straw,Banner,Human,Amethyst,9,,,Black Bucket Hat,,Earth
233,233,M,Green Samurai,Red Hoodie,Off White B,Pout,Sake,Human,Curious,7,,,,,
234,234,F,Silver Hairband,Blue Bomber,Red,Face Mask,Monkey King Staff,Human,Calm,9,Corded Earbuds,,,Red Fang Face Paint,
235,235,M,Blonde Short Spiky,Blue Bomber,Cool Gray,Whistling,,Human,Indifferent,7,,,Chef Headband,,
236,236,F,Blonde Bun,Black Qipao,Red,Closed,Umbrella,Human,Closed,9,Ear Cuffs,,,Ji Eyeband,
237,237,M,Silver Dreadlocks,Blue Kimono,Off White C,Pout,,Red,Tired,6,,,,,
238,238,M,Pink Samurai,White Yukata,Off White A,Meh,Boombox,Human,Focused,8,,,,Black Glasses,
239,239,M,Blue Samurai,Brown Yukata,Off White D,Smoking,Golden Kanabo,Human,Indifferent,8,,,Chef Headband,,
240,240,F,Violet Flowy,Light Kimono,Off White B,Lipstick,,Human,Pierced Eyebrow,7,,,,Eye Scar,
