,Hair,Clothing,Background,Mouth,Offhand,Type,Eyes,Token_id,Trait_count,Ear,Neck,Headgear,Face,Special
20,Blue Half Bun,Camo Hoodie,Off White D,Smirk,Zanbato,Human,Bored,20,7,,,,,
21,Powder Blue Swept Back,Green Yukata,Off White B,Tactical Knife,,Human,Tired,21,7,,Zen Headphones,,,
22,Blue Short Spiky,Azuki Tech Jacket,Off White B,Relaxed,Leather Katana,Human,Indifferent,22,8,,,Chef Headband,,
23,Black Hairband,Black Qipao,Red,Whistling,Hand Seal,Human,Amethyst,23,7,,,,,
24,Maroon Bun,Turquoise Kimono,Off White C,Frown,Banner,Human,Joyful,24,8,,,Pointy Straw Hat,,
25,Maroon Half Bun,Cloud Poncho,Off White B,Closed,Lantern,Human,Closed,25,8,,Zen Headphones,,,
26,Blue Half Bun,Blue Qipao,Off White A,Smile,Shuriken,Human,Striking,26,7,,,,,
27,Brown Blonde Flowy,Black Qipao,Off White D,Lipstick,,Human,Closed,27,7,,,,Sleep Mask,
28,Brown Messy,Black Yukata,Cool Gray,Smoking,,Human,Determined,28,6,,,,,
29,Silver Disheveled,Kimono with Jacket,Off White B,Closed,Floorsweeper,Human,Indifferent,29,8,,,,Reading Glasses,
30,Brown Disheveled,Azuki Sweater,Off White B,Relaxed,Banner,Human,Bored,30,8,,,,Red Stripes Face Paint,
31,Brown Blonde Flowy,Blue Qipao,Off White D,Smirk,,Human,Closed,31,7,,Koi Tattoo,,,
32,Blue Nightshade Flowy,Red Hoodie,Off White C,Relaxed,,Human,Relaxed,32,7,,,Black Bucket Hat,,
33,Teal Hairband,Red Floral Kimono,Off White A,Face Mask,,Human,Closed,33,7,Corded Earbuds,,,,
34,Orange Short Spiky,Dress Shirt,Off White D,Grass,Banner,Human,Chill,34,8,,,Sloth Headband,,
35,Orange Samurai,Maroon Yukata,Off White B,Relaxed,,Human,Tired,35,7,Chill,,,,
36,Buzzcut,Black Kimono,Cool Gray,Closed,Boombox,Human,Indifferent,36,9,,,IKZ Baseball Cap,Black Glasses,
37,Pink Bangs,White Hoodie,Off White A,Tongue Out,Floorsweeper,Human,Ruby,37,7,,,,,
38,Indigo Bangs,Camo Tech Jacket,Off White A,Smirk,Katana,Human,Joyful,38,7,,,,,
39,Pink Flowy,Light Armor,Off White A,Tongue Out,Leather Katana,Human,Closed,39,7,,,,,
40,Brown Long,Straw Poncho,Cool Gray,Long Stubble,Lantern,Human,Tired,40,8,,,,,Fireflies
41,Blonde Long,Green Yukata,Off White B,Grass,Bat,Human,Tired,41,7,,,,,
42,Orange Pixie,Azuki Sweater,Off White A,Smirk,,Human,Amethyst,42,7,,,Backwards Cap,,
43,Brown Blonde Flowy,Black Qipao,Off White B,Laughing,Bean Juice,Human,Determined,43,8,Stud,,,,
44,Blonde Flowy,Turquoise Kimono,Off White D,Frown,Lantern,Human,Determined,44,8,,Red Panda Headphones,,,
45,Purple Dreadlocks,Turquoise Kimono with Bow,Off White A,Laughing,,Human,Hopeful,45,7,,Zen Headphones,,,
46,Indigo Ponytail,Frog T-Shirt,Off White A,Tongue Out,Hand Seal,Human,Striking,46,7,,,,,
47,Purple Spiky,Brown Yukata,Off White D,Growl,Skateboard,Human,Bored,47,7,,,,,
48,Brown Samurai,Green Yukata,Off White C,Scroll,,Human,Determined,48,7,,,Straw Hat,,
49,Maroon Disheveled,Hoshi Jacket,Cool Gray,Growl,Shuriken,Human,Careless,49,7,,,,,
50,Indigo Bangs,Turquoise Kimono,Off White A,Wheat Straw,,Human,Determined,50,7,,,Full Bandana,,
51,Indigo Bangs,Black Ninja Top,Red,Lipstick,Sakura Katana,Human,Relaxed,51,7,,,,,
52,Blue Short Spiky,Yellow Jumpsuit,Off White D,Whistling,,Human,Careless,52,7,,,Red Panda Baseball Cap,,
53,Brown Messy,Bloody Bomber,Off White C,Chuckle,Hand Wrap,Human,Determined,53,8,,,,Blue Sunglasses,
54,Violet Flowy,Sloth Kimono,Dark Blue,Smile,Guitar,Human,Calm,54,7,,,,,
55,Brown Fluffy,Alpine Jacket,Red,Smirk,Boombox,Human,Indifferent,55,7,,,,,
56,Black Disheveled,Black Hoodie,Red,Face Mask,Gloves,Human,Tired,56,8,,,IKZ Baseball Cap,,
57,Brown Ponytail,Light Kimono,Off White A,Scroll,Katana,Human,Pierced Eyebrow,57,8,,,,Black Glasses,
58,Green Fluffy,Suit with Turtleneck,Off White C,Smoking,Guitar,Human,Tired,58,7,,,,,
59,Blonde Long,White T-Shirt,Off White D,Pout,,Human,Closed,59,8,,,Backwards Cap,Eye Patch,
60,Purple Spiky,Green Yukata,Off White C,Smoking,Coin,Human,Bored,60,7,,,,,
61,Green Samurai,Red Kimono,Cool Gray,Meh,Banner,Human,Closed,61,9,,Chain,,Eye Patch,
62,Silver Short Spiky,Blue Kimono,Off White C,Smirk,Coin,Blue,Meditating,62,7,,,,,
63,Magenta Flowy,Cat Kimono,Off White B,Closed,Monk Staff,Human,Hopeful,63,7,,,,,
64,Orange Samurai,Black Hoodie,Red,Face Mask,,Human,Indifferent,64,6,,,,,
65,Black Swept Back,Cat Yukata,Off White D,Whistling,,Human,Determined,65,6,,,,,
66,Blonde Short Spiky,Green Yukata,Off White B,Not Bad,Coin,Human,Meditating,66,7,,,,,
67,Black Bangs,Tank Top with Jacket,Off White B,Lipstick,Hand Wrap,Human,Amethyst,67,7,,,,,
68,Brown Ponytail,Yellow Bikini,Red,Grass,,Human,Striking,68,6,,,,,
69,Brown Disheveled,Hawaiian Shirt,Off White B,420,Hand Seal,Human,Indifferent,69,7,,,,,
70,Teal Bun,Red Floral Kimono,Off White B,Lipstick,Banner,Human,Determined,70,8,,Tribal Tattoo,,,
71,Indigo Disheveled,Brown Yukata,Off White D,Relaxed,,Human,Focused,71,7,,Towel,,,
72,Blue Bun,Blue Kimono with Bow,Off White D,Grass,Lantern,Human,Determined,72,7,,,,,
73,Maroon Ponytail,Turquoise Kimono with Bow,Off White D,Frown,,Human,Calm,73,7,,,,Red Stripes Face Paint,
74,Indigo Disheveled,Black Kimono,Off White B,Relaxed,Lantern,Human,Determined,74,7,,,,,
75,Black Swept Back,White T-Shirt,Off White A,Pout,Shuriken,Human,Pensive,75,7,,,,,
76,Silver Bangs,Black Qipao,Red,Bubble Gum,,Human,Closed,76,7,,,Ayaigasa,,
77,Brown Messy,Azuki Sweater,Off White C,420,Fireball,Human,Careless,77,9,Chill,,Backwards Cap,,
78,Orange Short Spiky,Red Perfecto Jacket,Off White A,Stubble,Hook Sword,Human,Focused,78,7,,,,,
79,Orange Swept Back,White Hoodie,Off White D,Whistling,,Human,Chill,79,6,,,,,
80,Teal Long,Red Kimono,Off White A,Pout,,Human,Meditating,80,8,Chill,Chain,,,
81,Brown Flowy,Lavender Kimono with Bow,Off White D,Scroll,,Human,Joyful,81,6,,,,,
82,Indigo Bangs,Frog Hoodie,Off White C,Smile,Lantern,Human,Closed,82,7,,,,,
83,Orange Samurai,Kimono with Jacket,Off White C,Relaxed,,Human,Focused,83,7,,,Horns,,
84,Green Half Bun,Suikan,Off White D,Smoking,Lantern,Human,Closed,84,8,,,Full Bandana,,
85,Pink Samurai,Red Hoodie,Off White A,Chuckle,,Human,Tired,85,7,,,Cat Baseball Cap,,
86,Black Fluffy,Camo Tech Jacket,Off White D,Chuckle,,Human,Meditating,86,7,Small Hoop,,,,
87,Indigo Long,Vegan Mink Coat,Cool Gray,Smoking,Fireball,Human,Meditating,87,10,,,Fur Bucket Hat,Round Purple Sunglasses,Fireflies
88,Purple Bangs,Hoodie with Bag,Off White D,Relaxed,,Human,Relaxed,88,7,,,Backwards Cap,,
89,Green Samurai,Blue Kimono,Off White A,Meh,Leather Katana,Human,Suspicious,89,8,,,Fur Bucket Hat,,
90,Silver Pixie,Red Floral Kimono,Off White D,Smirk,,Red,Ruby,90,6,,,,,
91,Blonde Flowy,Red Qipao with Fur,Off White A,Toothpick,Bean Juice,Human,Closed,91,7,,,,,
92,Pink Hairband,Denim Jacket,Off White D,Face Mask,Katana,Human,Calm,92,7,,,,,
93,Powder Blue Swept Back,Blue Kimono,Off White C,Meh,Sakura Katana,Human,Focused,93,7,,,,,
94,Blue Bun,Hoodie,Off White C,Laughing,,Human,Closed,94,8,,Choker,,Seer Eyeband,
95,Brown Bangs,Blue Qipao,Off White D,Smirk,,Human,Concerned,95,6,,,,,
96,Brown Spiky,White Hoodie,Off White C,Gaiter,Zanbato,Human,Pensive,96,7,,,,,
97,Silver Swept Back,Red Panda T-Shirt,Dark Blue,Toothpick,Zanbato,Human,Closed,97,7,,,,,
98,Blonde Short Spiky,Fur Hoodie,Dark Purple,Face Mask,Coin,Human,Determined,98,7,,,,,
99,Magenta Messy,Azuki Track Jacket,Red,Relaxed,Sake,Red,Focused,99,7,,,,,
100,Blue Bob,Stitched Samurai Armor,Off White B,Lipstick,,Human,Glowing,100,7,,Chill Headphones,,,
101,Blue Short Spiky,Bloody Bomber,Off White C,Closed,Katana,Human,Determined,101,8,,Beads,,,
102,Powder Blue Disheveled,Light Kimono,Off White B,Growl,Coin,Human,Focused,102,8,,,Cat Headband,,
103,Braids,Azuki Sweater,Red,Meh,Boombox,Human,Pierced Eyebrow,103,9,Skull Ear Cuffs,Contract Tattoo,,,
104,Indigo Swept Back,Fur Hoodie,Off White A,Closed,Umbrella,Human,Focused,104,8,,,Full Bandana,,
105,Indigo Messy,White Blazer,Off White A,Face Mask,Monkey King Staff,Human,Indifferent,105,7,,,,,
106,Silver Spiky,Light Kimono,Off White D,Chuckle,Coin,Red,Closed,106,7,,,,,
107,Black Swept Back,Fur Hoodie,Off White B,Meh,,Human,Bored,107,7,,,Sloth Mask,,
108,Brown Blonde Long,Red Perfecto Jacket,Off White A,Long Stubble,Fan,Human,Meditating,108,9,Wireless Earbuds,,,Sleep Mask,
109,Maroon Bob,Black Ninja Top,Off White D,Laughing,Fan,Human,Relaxed,109,7,,,,,
110,Blonde Flowy,Pink Oversized Kimono,Off White D,Lipstick,Red Bean,Human,Determined,110,9,Cat,,Cat Mask,,
111,Black Fluffy,Light Kimono,Off White A,Relaxed,,Human,Careless,111,7,Wu,,,,
112,Indigo Ponytail,Yellow Bikini,Off White D,Chewing,Earth,Human,Closed,112,8,,,,Sleep Mask,
113,Black Hairband,Vest,Red,Grin,Coin,Human,Daydreaming,113,8,,,IKZ Baseball Cap,,
114,Gray Samurai,Red Hoodie,Off White C,Not Bad,Sakura Katana,Blue,Pensive,114,7,,,,,
115,Silver Dreadlocks,Azuki Track Jacket,Off White C,Closed,,Human,Hopeful,115,7,,,,Black Glasses,
116,Long Dreadlocks,Red Kimono,Off White C,Relaxed,Coin,Human,Closed,116,9,,Chain,,Round Blue Sunglasses,
117,Blonde Swept Back,White Yukata,Off White A,Meh,Katana,Human,Pierced Eyebrow,117,7,,,,,
118,Blue Spiky,Camo Tech Jacket,Off White C,Pout,Umbrella,Human,Focused,118,7,,,,,
119,Maroon Bob,Turquoise Kimono,Cool Gray,Smoking,Lantern,Human,Amethyst,119,8,,Zen Headphones,,,
120,Green Ombre Flowy,Golden Sloth Kigurumi,Cool Gray,Toothpick,,Human,Joyful,120,6,,,,,
121,Magenta Messy,Red Hoodie,Off White C,Chuckle,Golden Shinai,Human,Determined,121,7,,,,,
122,Magenta Pigtails,Camo Hoodie,Off White D,Tactical Knife,Bean Juice,Human,Hopeful,122,7,,,,,
123,Black Disheveled,Black Yukata,Off White A,Whistling,Gloves,Human,Meditating,123,8,,,,Eye Scar,
124,Blonde Long,White Layered Yukata,Dark Purple,Not Bad,,Human,Indifferent,124,6,,,,,
125,Brown Messy,Hoshi Jacket,Red,Chuckle,,Human,Focused,125,8,,,Frog Mask,Red Bandana,
126,Indigo Bangs,Red Ninja Top,Off White C,Toothpick,Hand Seal,Human,Joyful,126,7,,,,,
127,Black Disheveled,Suit with Turtleneck,Cool Gray,Toothpick,,Human,Pensive,127,9,,Contract Tattoo,Fur Bucket Hat,Round Purple Sunglasses,
128,Violet Flowy,Turquoise Kimono with Bow,Off White A,Chewing,,Human,Ruby,128,7,,Chill Headphones,,,
129,Blonde Swept Back,Azuki Tech Jacket,Off White C,Growl,Katana,Human,Curious,129,7,,,,,
130,Pink Hairband,Plated Samurai Armor,Off White D,Frown,,Human,Closed,130,7,,,Red Panda Mask,,
131,Silver Ponytail,White Qipao with Fur,Dark Blue,Relaxed,Zanbato,Blue,Glowing,131,8,,,,,Lightning
132,Magenta Flowy,Vest,Off White B,Smile,Monk Staff,Human,Concerned,132,7,,,,,
133,Brown Bangs,Sloth Hoodie,Off White C,Whistling,,Human,Relaxed,133,7,,,Yellow Kanzashi,,
134,Powder Blue Pigtails,Tank Top,Off White A,Tongue Out,Bat,Human,Closed,134,8,,,,Sleep Mask,
135,Orange Pixie,Blue Kimono with Bow,Off White D,Laughing,Katana,Human,Red,135,8,,Towel,,,
136,Violet Flowy,Bumblebee Jacket,Off White B,Smirk,Zanbato,Human,Closed,136,8,Sword,,,,
137,Teal Long,Sloth Kigurumi,Red,Wheat Straw,Shinai,Human,Pensive,137,7,,,,,
138,Black Swept Back,White Blazer,Off White B,Smirk,Red Bean,Human,Focused,138,7,,,,,
139,Blonde Bun,Black Ninja Top,Dark Purple,Whistling,,Human,Amethyst,139,7,,,Newsboy Cap,,
140,Silver Swept Back,Azuki Track Jacket,Off White D,Closed,Floorsweeper,Human,Closed,140,7,,,,,
141,Indigo Messy,Red Hoodie,Off White C,Growl,Fishing Rod,Human,Pierced Eyebrow,141,7,,,,,
142,Brown Flowy,Cat Kimono,Off White D,Lipstick,Zanbato,Human,Determined,142,10,Cat,,Cat Mask,Eye Scar,
143,Blue Bun,Cat Hoodie,Off White D,Frown,Fan,Human,Pierced Eyebrow,143,7,,,,,
144,Orange Swept Back,Matsuri Happi,Dark Purple,Pout,Bean Juice,Human,Focused,144,7,,,,,
145,Brown Spiky,Black Yukata,Off White B,Closed,Banner,Human,Indifferent,145,8,,,Red Panda Baseball Cap,,
146,Green Spiky,Red Kimono,Off White A,Chuckle,Floorsweeper,Human,Meditating,146,9,,Chain,Chef Headband,,
147,Silver Flowy,Tank Top,Off White B,Laughing,Red Bean,Human,Pierced Eyebrow,147,10,Hoop,,Fur Bucket Hat,Clear Glasses,
148,Powder Blue Pigtails,Hoodie,Off White A,Frown,Floorsweeper,Human,Joyful,148,9,,Choker,,Red Stripes Face Paint,
149,Brown Disheveled,Cat Yukata,Off White B,Whistling,Fan,Human,Pensive,149,7,,,,,
150,Blue Hairband,Black Hoodie,Off White D,Lipstick,Floorsweeper,Human,Calm,150,8,,,,Round Blue Sunglasses,
151,Long Dreadlocks,Red Panda Kimono,Cool Gray,Laughing,,Human,Ruby,151,6,,,,,
152,Blue Half Bun,Alpine Jacket,Red,Closed,Banner,Human,Concerned,152,7,,,,,
153,Brown Samurai,Kimono with Jacket,Off White D,Meh,Bat,Human,Careless,153,7,,,,,
154,Gray Samurai,White Layered Yukata,Off White C,Chuckle,,Human,Meditating,154,7,,,,Eye Scar,
155,Black Swept Back,White T-Shirt,Off White C,Pout,Bokken,Human,Closed,155,8,,Beads,,,
156,Blue Short Spiky,White T-Shirt,Red,Pout,Fan,Human,Chill,156,8,,Zen Headphones,,,
157,Maroon Half Bun,Vest,Off White B,Relaxed,Coin,Human,Chill,157,8,,,,Eye Scar,
158,Pink Flowy,Vegan Mink Coat,Off White B,Face Mask,,Human,Concerned,158,6,,,,,
159,Purple Pigtails,Tank Top with Jacket,Off White B,Laughing,Bat,Human,Striking,159,8,,,Yellow Kanzashi,,
160,Blue Bob,Black Ninja Top,Off White A,Grin,Katana,Human,Hopeful,160,7,,,,,
161,Silver Dreadlocks,Maroon Yukata,Off White D,Not Bad,,Blue,Suspicious,161,6,,,,,
162,Green Ombre Bangs,Denim Jacket,Off White A,Laughing,,Blue,Daydreaming,162,6,,,,,
163,Violet Flowy,Sloth Kigurumi,Red,Laughing,Coin,Human,Determined,163,7,,,,,
164,Purple Pigtails,Frog Kimono,Off White C,Relaxed,Coin,Human,Determined,164,7,,,,,
165,Teal Hairband,Light Armor,Off White C,Frown,,Human,Closed,165,7,,,,Round Blue Sunglasses,
166,Dreadlocks,Red Ninja Top,Off White B,Chewing,Leather Katana,Human,Closed,166,8,Ear Cuffs,,,,
167,Indigo Swept Back,White T-Shirt,Off White C,420,Leather Katana,Human,Curious,167,7,,,,,
168,Blue Hairband,Cat Hoodie,Off White B,Toothpick,Sakura Katana,Human,Concerned,168,7,,,,,
169,Green Ponytail,Cloud Poncho,Off White A,Chewing,,Human,Determined,169,7,,Chill Headphones,,,
170,Brown Flowy,Blue Qipao,Off White D,Relaxed,Leather Katana,Human,Striking,170,7,,,,,
171,Brown Ponytail,Red Floral Kimono,Off White A,Grass,Umbrella,Human,Ruby,171,8,,Beads,,,
172,Maroon Disheveled,Black Yukata,Off White C,Meh,Katana,Human,Focused,172,8,,Chill Headphones,,,
173,Brown Bangs,Red Qipao with Fur,Off White A,Closed,,Human,Relaxed,173,7,,,,Reading Glasses,
174,Pink Flowy,Blue Bikini,Off White B,Closed,Umbrella,Human,Calm,174,7,,,,,
175,Brown Samurai,Suikan,Off White A,Meh,Sakura Katana,Human,Closed,175,7,,,,,
176,Maroon Bun,Red Floral Kimono,Off White B,Relaxed,Banner,Human,Ruby,176,8,,Sneakers,,,
177,Magenta Pigtails,Azuki Sweater,Off White C,Surprised,,Human,Hopeful,177,7,,Towel,,,
178,Teal Long,White Yukata,Off White B,Face Mask,Bokken,Human,Careless,178,7,,,,,
179,Blue Half Bun,White Blazer,Off White C,Long Stubble,,Human,Pensive,179,7,,,,Round Blue Sunglasses,
180,Indigo Long,Maroon Yukata,Off White D,Gaiter,,Human,Focused,180,7,,,Backwards Cap,,
181,Blue Half Bun,White T-Shirt,Off White D,Closed,,Human,Focused,181,7,,Chill Headphones,,,
182,Magenta Messy,Black Yukata,Off White D,Smirk,,Human,Closed,182,8,,,Horns,Eye Patch,
183,Blonde Messy,Green Yukata,Off White B,Meh,Sakura Katana,Human,Meditating,183,8,,,,Round Purple Sunglasses,
184,Indigo Swept Back,White Yukata,Off White B,420,,Human,Indifferent,184,7,,Zen Headphones,,,
185,Black Pigtails,Rain Jacket,Off White D,Tactical Knife,,Human,Hopeful,185,6,,,,,
186,Powder Blue Disheveled,Sloth Yukata,Off White D,Meh,Monkey King Staff,Human,Focused,186,7,,,,,
187,Teal Bob,Azuki Track Jacket,Red,Lipstick,Katana,Human,Determined,187,8,,,,Red Fang Face Paint,
188,Magenta Pigtails,Hoodie,Off White C,Lipstick,,Human,Ruby,188,8,Hoop,Choker,,,
189,Maroon Short Spiky,Denim Jacket,Off White D,Face Mask,Zanbato,Human,Curious,189,7,,,,,
190,Black Bangs,Azuki Track Jacket,Off White B,Lipstick,Fan,Human,Closed,190,8,,,Ayaigasa,,
191,Brown Blonde Long,Blue Kimono,Off White D,Relaxed,Skateboard,Human,Closed,191,8,,,,Sleep Mask,
192,Magenta Flowy,Azuki Tech Jacket,Off White A,Smirk,,Human,Relaxed,192,7,,,Cat Mask,,
193,Violet Flowy,Vest,Off White D,Frown,Bat,Human,Relaxed,193,7,,,,,
194,Brown Flowy,Cat T-Shirt,Off White B,Frown,Coin,Human,Amethyst,194,7,,,,,
195,Purple Spiky,Tank Top,Off White B,Grass,Shinai,Human,Bored,195,8,,,,Eye Scar,
196,Indigo Swept Back,Maroon Yukata,Off White A,Not Bad,Lantern,Human,Bored,196,8,,,,Reading Glasses,
197,Purple Half Bun,Tank Top with Jacket,Off White B,Closed,,Human,Calm,197,7,,,,Red Fang Face Paint,
198,Indigo Bangs,Pink Oversized Kimono,Off White A,Laughing,,Human,Amethyst,198,7,,Chill Headphones,,,
199,Orange Pixie,Hawaiian Shirt,Red,Surprised,Bean Juice,Human,Joyful,199,7,,,,,
200,Green Flowy,Blue Bomber,Off White D,Chewing,Sake,Human,Calm,200,7,,,,,
201,Teal Messy,Kung Fu Shirt,Off White A,Chuckle,,Human,Curious,201,7,,Cat Headphones,,,
202,Purple Pigtails,Turquoise Kimono with Bow,Red,Smile,,Human,Ruby,202,7,,,Red Panda Headband,,
203,Blue Samurai,Archer,Off White C,Pout,Shinai,Human,Chill,203,8,,,,Black Glasses,
204,Gray Samurai,Azuki Tech Jacket,Red,Grass,Bat,Red,Suspicious,204,9,,,Cat Mask,Red Fang Face Paint,
205,Magenta Messy,Kimono with Straw Hat,Off White C,Bubble Gum,Leather Katana,Human,Indifferent,205,7,,,,,
206,Purple Bun,Turquoise Kimono,Off White A,Closed,,Human,Joyful,206,6,,,,,
207,Black Teal Bangs,Turquoise Kimono,Off White C,Frown,,Human,Striking,207,7,,,Red Panda Beanie,,
208,Silver Disheveled,Black T-Shirt,Red,Relaxed,Leather Katana,Human,Indifferent,208,8,,,,Red Stripes Face Paint,
209,Dreadlocks,Turquoise Kimono with Bow,Off White A,Smile,,Human,Relaxed,209,6,,,,,
210,Green Pigtails,Cat Kimono,Red,Grin,,Human,Striking,210,6,,,,,
211,Green Flowy,Lavender Kimono with Bow,Red,Chewing,,Human,Red,211,6,,,,,
212,Blue Short Spiky,Light Kimono,Off White D,Not Bad,Katana,Human,Meditating,212,9,,,Frog Headband,Red Stripes Face Paint,
213,Blue Short Spiky,Dress Shirt,Red,Grass,Lantern,Human,Focused,213,9,,Koi Tattoo,,Red Bandana,
214,Maroon Disheveled,Black Yukata,Off White B,Pout,,Human,White,214,7,,,Sandogasa,,
215,Green Flowy,White Hoodie,Off White A,Chewing,,Human,Determined,215,6,,,,,
216,Orange Swept Back,Bumblebee Jacket,Off White B,Meh,Banner,Human,Tired,216,8,,,,Bandaid,
217,Pink Flowy,Dress Shirt,Off White A,Laughing,Floorsweeper,Human,Ruby,217,8,,,Beret,,
218,Blue Pink Ombre Flowy,Red Qipao with Fur,Cool Gray,Closed,Leather Katana,Human,Determined,218,8,,,Purple Kanzashi,,
219,Blue Nightshade Flowy,Yellow Bikini,Off White D,Lipstick,Sake,Human,Relaxed,219,8,,,,Round Blue Sunglasses,
220,Orange Samurai,Blue Kimono,Red,Wheat Straw,,Human,Indifferent,220,6,,,,,
221,Brown Long,Blue Bomber,Dark Blue,Meh,Banner,Human,Focused,221,8,,,,Black Glasses,
222,Blonde Bob,Red Ninja Top,Off White B,Lipstick,Coin,Human,Calm,222,7,,,,,
223,Black Hairband,Tank Top with Jacket,Off White A,Smile,Lantern,Human,Concerned,223,9,,,Black Bucket Hat,Red Stripes Face Paint,
224,Pink Bangs,Blue Floral Kimono,Off White A,Frown,,Human,Joyful,224,7,,Chill Headphones,,,
225,Maroon Half Bun,White T-Shirt,Off White D,Chuckle,Coin,Human,Indifferent,225,8,,,Distressed Beanie,,
226,Brown Long,Suit with Turtleneck,Off White D,Long Stubble,Bean Juice,Human,Closed,226,10,,Zen Headphones,Ayaigasa,Red Stripes Face Paint,
227,Brown Disheveled,Brown Yukata,Off White D,420,,Human,Closed,227,7,,,Frog Headband,,
228,Blue Hairband,Red Perfecto Jacket,Off White B,Grin,,Human,Determined,228,6,,,,,
229,Blonde Flowy,Yellow Bikini,Off White A,Frown,Katana,Human,Joyful,229,8,Chiyogami,,,,
230,Indigo Fluffy,Hawaiian Shirt,Off White A,Meh,,Human,Closed,230,7,,,Backwards Cap,,
231,Maroon Bob,Black Tech Jacket,Off White C,Smile,Hand Wrap,Human,Concerned,231,7,,,,,
232,Blue Pink Ombre Flowy,Sloth Hoodie,Off White B,Wheat Straw,Banner,Human,Amethyst,232,9,,,Black Bucket Hat,,Earth
233,Green Samurai,Red Hoodie,Off White B,Pout,Sake,Human,Curious,233,7,,,,,
234,Silver Hairband,Blue Bomber,Red,Face Mask,Monkey King Staff,Human,Calm,234,9,Corded Earbuds,,,Red Fang Face Paint,
235,Blonde Short Spiky,Blue Bomber,Cool Gray,Whistling,,Human,Indifferent,235,7,,,Chef Headband,,
236,Blonde Bun,Black Qipao,Red,Closed,Umbrella,Human,Closed,236,9,Ear Cuffs,,,Ji Eyeband,
237,Silver Dreadlocks,Blue Kimono,Off White C,Pout,,Red,Tired,237,6,,,,,
238,Pink Samurai,White Yukata,Off White A,Meh,Boombox,Human,Focused,238,8,,,,Black Glasses,
239,Blue Samurai,Brown Yukata,Off White D,Smoking,Golden Kanabo,Human,Indifferent,239,8,,,Chef Headband,,
240,Violet Flowy,Light Kimono,Off White B,Lipstick,,Human,Pierced Eyebrow,240,7,,,,Eye Scar,
241,Silver Ponytail,Dress Shirt,Dark Blue,Frown,,Human,Lightning,241,8,Skull Ear Cuffs,,Cat Beanie,,
242,Maroon Half Bun,Black Qipao,Red,Frown,,Human,Ruby,242,6,,,,,
243,Brown Blonde Flowy,Hoodie,Dark Purple,Smile,Zanbato,Human,Closed,243,10,Sunflower,Choker,,Sleep Mask,
244,Green Half Bun,White Hoodie,Off White B,Meh,Hook Sword,Human,Pensive,244,7,,,,,
245,Silver Spiky,Light Kimono,Off White D,Meh,,Human,Focused,245,7,,,Red Panda Beanie,,
246,Silver Swept Back,Hoshi Jacket,Off White D,Closed,Golden Monk Staff,Human,Indifferent,246,7,,,,,
247,Brown Disheveled,Shinto Robe,Off White C,Grass,,Human,Closed,247,9,,Chill Headphones,Broken Straw Hat,Ji Eyeband,
248,Brown Long,Black Blazer,Off White C,Grass,,Human,Determined,248,7,,Chain,,,
249,Teal Bob,Hoodie,Red,Laughing,Fan,Human,Joyful,249,8,,Choker,,,
