,Token_id,Trait_count,Trait_list
104,104,8,"['Umbrella', 'Fur Hoodie', 'Off White A', 'Full Bandana', 'Focused', 'Indigo Swept Back', 'Human', 'Closed']"
105,105,7,"['Indigo Messy', 'Indifferent', 'Off White A', 'White Blazer', 'Monkey King Staff', 'Human', 'Face Mask']"
106,106,7,"['Closed', 'Red', 'Silver Spiky', 'Off White D', 'Coin', 'Chuckle', 'Light Kimono']"
107,107,7,"['Meh', 'Fur Hoodie', 'Sloth Mask', 'Off White B', 'Black Swept Back', 'Human', 'Bored']"
108,108,9,"['Red Perfecto Jacket', 'Off White A', 'Brown Blonde Long', 'Fan', 'Sleep Mask', 'Meditating', 'Long Stubble', 'Human', 'Wireless Earbuds']"
109,109,7,"['Black Ninja Top', 'Off White D', 'Laughing', 'Maroon Bob', 'Fan', 'Human', 'Relaxed']"
110,110,9,"['Pink Oversized Kimono', 'Off White D', 'Cat', 'Blonde Flowy', 'Cat Mask', 'Lipstick', 'Human', 'Red Bean', 'Determined']"
111,111,7,"['Wu', 'Relaxed', 'Off White A', 'Careless', 'Human', 'Black Fluffy', 'Light Kimono']"
112,112,8,"['Yellow Bikini', 'Earth', 'Chewing', 'Off White D', 'Sleep Mask', 'Human', 'Indigo Ponytail', 'Closed']"
113,113,8,"['Red', 'Black Hairband', 'Daydreaming', 'Grin', 'Coin', 'Vest', 'Human', 'IKZ Baseball Cap']"
114,114,7,"['Red Hoodie', 'Gray Samurai', 'Sakura Katana', 'Pensive', 'Off White C', 'Not Bad', 'Blue']"
115,115,7,"['Black Glasses', 'Silver Dreadlocks', 'Azuki Track Jacket', 'Closed', 'Off White C', 'Human', 'Hopeful']"
116,116,9,"['Red Kimono', 'Chain', 'Relaxed', 'Long Dreadlocks', 'Coin', 'Round Blue Sunglasses', 'Off White C', 'Human', 'Closed']"
117,117,7,"['Meh', 'Off White A', 'Katana', 'Pierced Eyebrow', 'Human', 'Blonde Swept Back', 'White Yukata']"
118,118,7,"['Umbrella', 'Focused', 'Camo Tech Jacket', 'Pout', 'Off White C', 'Blue Spiky', 'Human']"
119,119,8,"['Zen Headphones', 'Cool Gray', 'Turquoise Kimono', 'Maroon Bob', 'Lantern', 'Smoking', 'Human', 'Amethyst']"
120,120,6,"['Toothpick', 'Cool Gray', 'Joyful', 'Golden Sloth Kigurumi', 'Human', 'Green Ombre Flowy']"
121,121,7,"['Red Hoodie', 'Golden Shinai', 'Magenta Messy', 'Off White C', 'Human', 'Chuckle', 'Determined']"
122,122,7,"['Magenta Pigtails', 'Bean Juice', 'Off White D', 'Camo Hoodie', 'Hopeful', 'Human', 'Tactical Knife']"
123,123,8,"['Off White A', 'Eye Scar', 'Black Yukata', 'Gloves', 'Whistling', 'Meditating', 'Human', 'Black Disheveled']"
124,124,6,"['Indifferent', 'Dark Purple', 'Not Bad', 'Human', 'White Layered Yukata', 'Blonde Long']"
125,125,8,"['Red', 'Frog Mask', 'Brown Messy', 'Hoshi Jacket', 'Focused', 'Human', 'Red Bandana', 'Chuckle']"
126,126,7,"['Red Ninja Top', 'Joyful', 'Off White C', 'Indigo Bangs', 'Human', 'Hand Seal', 'Toothpick']"
127,127,9,"['Toothpick', 'Cool Gray', 'Round Purple Sunglasses', 'Pensive', 'Black Disheveled', 'Suit with Turtleneck', 'Human', 'Fur Bucket Hat', 'Contract Tattoo']"
128,128,7,"['Off White A', 'Chewing', 'Ruby', 'Violet Flowy', 'Turquoise Kimono with Bow', 'Human', 'Chill Headphones']"
129,129,7,"['Curious', 'Katana', 'Azuki Tech Jacket', 'Off White C', 'Growl', 'Human', 'Blonde Swept Back']"
130,130,7,"['Red Panda Mask', 'Off White D', 'Plated Samurai Armor', 'Pink Hairband', 'Frown', 'Human', 'Closed']"
131,131,8,"['Zanbato', 'Dark Blue', 'Relaxed', 'Glowing', 'White Qipao with Fur', 'Lightning', 'Silver Ponytail', 'Blue']"
132,132,7,"['Magenta Flowy', 'Smile', 'Off White B', 'Concerned', 'Monk Staff', 'Vest', 'Human']"
133,133,7,"['Brown Bangs', 'Yellow Kanzashi', 'Whistling', 'Sloth Hoodie', 'Off White C', 'Human', 'Relaxed']"
134,134,8,"['Off White A', 'Tongue Out', 'Tank Top', 'Bat', 'Sleep Mask', 'Human', 'Closed', 'Powder Blue Pigtails']"
135,135,8,"['Towel', 'Orange Pixie', 'Off White D', 'Laughing', 'Katana', 'Red', 'Blue Kimono with Bow', 'Human']"
136,136,8,"['Zanbato', 'Smirk', 'Sword', 'Bumblebee Jacket', 'Off White B', 'Violet Flowy', 'Human', 'Closed']"
137,137,7,"['Red', 'Shinai', 'Wheat Straw', 'Sloth Kigurumi', 'Teal Long', 'Pensive', 'Human']"
138,138,7,"['Smirk', 'Focused', 'White Blazer', 'Off White B', 'Black Swept Back', 'Human', 'Red Bean']"
139,139,7,"['Blonde Bun', 'Black Ninja Top', 'Dark Purple', 'Newsboy Cap', 'Whistling', 'Human', 'Amethyst']"
140,140,7,"['Silver Swept Back', 'Off White D', 'Azuki Track Jacket', 'Floorsweeper', 'Human', 'Closed', 'Closed']"
141,141,7,"['Indigo Messy', 'Fishing Rod', 'Red Hoodie', 'Off White C', 'Pierced Eyebrow', 'Human', 'Growl']"
142,142,10,"['Zanbato', 'Cat Kimono', 'Eye Scar', 'Off White D', 'Cat', 'Brown Flowy', 'Cat Mask', 'Lipstick', 'Human', 'Determined']"
143,143,7,"['Off White D', 'Fan', 'Frown', 'Cat Hoodie', 'Blue Bun', 'Pierced Eyebrow', 'Human']"
144,144,7,"['Bean Juice', 'Matsuri Happi', 'Focused', 'Dark Purple', 'Pout', 'Orange Swept Back', 'Human']"
145,145,8,"['Brown Spiky', 'Indifferent', 'Black Yukata', 'Off White B', 'Closed', 'Human', 'Banner', 'Red Panda Baseball Cap']"
146,146,9,"['Red Kimono', 'Chain', 'Off White A', 'Green Spiky', 'Chef Headband', 'Floorsweeper', 'Meditating', 'Human', 'Chuckle']"
147,147,10,"['Silver Flowy', 'Clear Glasses', 'Pierced Eyebrow', 'Laughing', 'Off White B', 'Hoop', 'Human', 'Fur Bucket Hat', 'Red Bean', 'Tank Top']"
148,148,9,"['Hoodie', 'Choker', 'Red Stripes Face Paint', 'Off White A', 'Joyful', 'Frown', 'Floorsweeper', 'Human', 'Powder Blue Pigtails']"
149,149,7,"['Brown Disheveled', 'Pensive', 'Off White B', 'Fan', 'Cat Yukata', 'Whistling', 'Human']"
150,150,8,"['Off White D', 'Round Blue Sunglasses', 'Lipstick', 'Floorsweeper', 'Calm', 'Human', 'Black Hoodie', 'Blue Hairband']"
151,151,6,"['Cool Gray', 'Long Dreadlocks', 'Ruby', 'Laughing', 'Red Panda Kimono', 'Human']"
152,152,7,"['Red', 'Blue Half Bun', 'Alpine Jacket', 'Concerned', 'Human', 'Banner', 'Closed']"
153,153,7,"['Meh', 'Kimono with Jacket', 'Off White D', 'Bat', 'Careless', 'Brown Samurai', 'Human']"
154,154,7,"['Gray Samurai', 'Eye Scar', 'Off White C', 'Meditating', 'Human', 'Chuckle', 'White Layered Yukata']"
155,155,8,"['Bokken', 'White T-Shirt', 'Pout', 'Black Swept Back', 'Beads', 'Off White C', 'Human', 'Closed']"
156,156,8,"['Red', 'Zen Headphones', 'Chill', 'White T-Shirt', 'Pout', 'Fan', 'Blue Short Spiky', 'Human']"
157,157,8,"['Chill', 'Relaxed', 'Maroon Half Bun', 'Eye Scar', 'Coin', 'Off White B', 'Vest', 'Human']"
158,158,6,"['Pink Flowy', 'Off White B', 'Concerned', 'Vegan Mink Coat', 'Human', 'Face Mask']"
159,159,8,"['Yellow Kanzashi', 'Laughing', 'Off White B', 'Tank Top with Jacket', 'Bat', 'Purple Pigtails', 'Human', 'Striking']"
160,160,7,"['Black Ninja Top', 'Off White A', 'Grin', 'Blue Bob', 'Katana', 'Human', 'Hopeful']"
161,161,6,"['Maroon Yukata', 'Silver Dreadlocks', 'Suspicious', 'Off White D', 'Not Bad', 'Blue']"
162,162,6,"['Off White A', 'Denim Jacket', 'Laughing', 'Daydreaming', 'Green Ombre Bangs', 'Blue']"
163,163,7,"['Red', 'Sloth Kigurumi', 'Laughing', 'Coin', 'Violet Flowy', 'Human', 'Determined']"
164,164,7,"['Relaxed', 'Coin', 'Off White C', 'Purple Pigtails', 'Human', 'Determined', 'Frog Kimono']"
165,165,7,"['Teal Hairband', 'Round Blue Sunglasses', 'Frown', 'Off White C', 'Human', 'Light Armor', 'Closed']"
166,166,8,"['Off White B', 'Leather Katana', 'Human', 'Ear Cuffs', 'Red Ninja Top', 'Chewing', 'Dreadlocks', 'Closed']"
167,167,7,"['420', 'Curious', 'White T-Shirt', 'Leather Katana', 'Indigo Swept Back', 'Off White C', 'Human']"
168,168,7,"['Toothpick', 'Off White B', 'Concerned', 'Cat Hoodie', 'Sakura Katana', 'Human', 'Blue Hairband']"
169,169,7,"['Cloud Poncho', 'Off White A', 'Chewing', 'Green Ponytail', 'Human', 'Chill Headphones', 'Determined']"
170,170,7,"['Relaxed', 'Off White D', 'Brown Flowy', 'Leather Katana', 'Blue Qipao', 'Human', 'Striking']"
171,171,8,"['Umbrella', 'Off White A', 'Ruby', 'Grass', 'Beads', 'Red Floral Kimono', 'Human', 'Brown Ponytail']"
172,172,8,"['Meh', 'Focused', 'Black Yukata', 'Katana', 'Maroon Disheveled', 'Off White C', 'Human', 'Chill Headphones']"
173,173,7,"['Brown Bangs', 'Red Qipao with Fur', 'Off White A', 'Reading Glasses', 'Human', 'Relaxed', 'Closed']"
174,174,7,"['Umbrella', 'Pink Flowy', 'Off White B', 'Calm', 'Human', 'Blue Bikini', 'Closed']"
175,175,7,"['Meh', 'Off White A', 'Sakura Katana', 'Suikan', 'Brown Samurai', 'Human', 'Closed']"
176,176,8,"['Sneakers', 'Relaxed', 'Ruby', 'Off White B', 'Maroon Bun', 'Red Floral Kimono', 'Human', 'Banner']"
177,177,7,"['Human', 'Hopeful', 'Towel', 'Magenta Pigtails', 'Surprised', 'Azuki Sweater', 'Off White C']"
178,178,7,"['Teal Long', 'Bokken', 'Off White B', 'Careless', 'Human', 'Face Mask', 'White Yukata']"
179,179,7,"['Blue Half Bun', 'White Blazer', 'Pensive', 'Round Blue Sunglasses', 'Off White C', 'Long Stubble', 'Human']"
180,180,7,"['Maroon Yukata', 'Backwards Cap', 'Focused', 'Off White D', 'Indigo Long', 'Gaiter', 'Human']"
181,181,7,"['Focused', 'Blue Half Bun', 'Off White D', 'White T-Shirt', 'Human', 'Chill Headphones', 'Closed']"
182,182,8,"['Smirk', 'Horns', 'Black Yukata', 'Off White D', 'Magenta Messy', 'Human', 'Eye Patch', 'Closed']"
183,183,8,"['Meh', 'Blonde Messy', 'Round Purple Sunglasses', 'Off White B', 'Green Yukata', 'Meditating', 'Sakura Katana', 'Human']"
184,184,7,"['Zen Headphones', '420', 'Indifferent', 'Off White B', 'Indigo Swept Back', 'Human', 'White Yukata']"
185,185,6,"['Rain Jacket', 'Off White D', 'Black Pigtails', 'Hopeful', 'Human', 'Tactical Knife']"
186,186,7,"['Meh', 'Sloth Yukata', 'Focused', 'Off White D', 'Monkey King Staff', 'Powder Blue Disheveled', 'Human']"
187,187,8,"['Red', 'Teal Bob', 'Katana', 'Azuki Track Jacket', 'Lipstick', 'Human', 'Red Fang Face Paint', 'Determined']"
188,188,8,"['Magenta Pigtails', 'Hoodie', 'Choker', 'Ruby', 'Lipstick', 'Off White C', 'Hoop', 'Human']"
189,189,7,"['Zanbato', 'Curious', 'Maroon Short Spiky', 'Denim Jacket', 'Off White D', 'Human', 'Face Mask']"
190,190,8,"['Ayaigasa', 'Off White B', 'Fan', 'Azuki Track Jacket', 'Lipstick', 'Black Bangs', 'Human', 'Closed']"
191,191,8,"['Relaxed', 'Brown Blonde Long', 'Off White D', 'Blue Kimono', 'Skateboard', 'Sleep Mask', 'Human', 'Closed']"
192,192,7,"['Magenta Flowy', 'Smirk', 'Off White A', 'Azuki Tech Jacket', 'Cat Mask', 'Human', 'Relaxed']"
193,193,7,"['Off White D', 'Violet Flowy', 'Frown', 'Bat', 'Vest', 'Human', 'Relaxed']"
194,194,7,"['Cat T-Shirt', 'Coin', 'Off White B', 'Brown Flowy', 'Frown', 'Human', 'Amethyst']"
195,195,8,"['Purple Spiky', 'Shinai', 'Eye Scar', 'Off White B', 'Grass', 'Human', 'Tank Top', 'Bored']"
196,196,8,"['Maroon Yukata', 'Off White A', 'Reading Glasses', 'Indigo Swept Back', 'Lantern', 'Not Bad', 'Human', 'Bored']"
197,197,7,"['Off White B', 'Tank Top with Jacket', 'Calm', 'Human', 'Purple Half Bun', 'Red Fang Face Paint', 'Closed']"
198,198,7,"['Pink Oversized Kimono', 'Off White A', 'Laughing', 'Indigo Bangs', 'Human', 'Amethyst', 'Chill Headphones']"
199,199,7,"['Red', 'Hawaiian Shirt', 'Surprised', 'Bean Juice', 'Orange Pixie', 'Joyful', 'Human']"
200,200,7,"['Sake', 'Green Flowy', 'Chewing', 'Off White D', 'Blue Bomber', 'Calm', 'Human']"
201,201,7,"['Cat Headphones', 'Curious', 'Off White A', 'Kung Fu Shirt', 'Human', 'Chuckle', 'Teal Messy']"
202,202,7,"['Red', 'Smile', 'Ruby', 'Red Panda Headband', 'Purple Pigtails', 'Turquoise Kimono with Bow', 'Human']"
203,203,8,"['Chill', 'Shinai', 'Black Glasses', 'Pout', 'Off White C', 'Human', 'Blue Samurai', 'Archer']"
204,204,9,"['Red', 'Gray Samurai', 'Red', 'Suspicious', 'Grass', 'Azuki Tech Jacket', 'Cat Mask', 'Bat', 'Red Fang Face Paint']"
205,205,7,"['Indifferent', 'Bubble Gum', 'Magenta Messy', 'Leather Katana', 'Off White C', 'Human', 'Kimono with Straw Hat']"
206,206,6,"['Off White A', 'Joyful', 'Turquoise Kimono', 'Purple Bun', 'Human', 'Closed']"
